awardYear,category,motivation,name,gender,birth date,birth_continent,birth_countryNow,death_date
1967,Literature,"for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America",Miguel Angel Asturias,male,19.10.1899,North America,Guatemala,9.6.1974
1967,Physiology or Medicine,for their discoveries concerning the primary physiological and chemical visual processes in the eye,Ragnar Granit,male,30.10.1900,Europe,Finland,12.3.1991
1967,Chemistry,"for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy",Ronald G.W. Norrish,male,9.11.1897,Europe,United Kingdom,7.6.1978
1968,Physiology or Medicine,for their interpretation of the genetic code and its function in protein synthesis,H. Gobind Khorana,male,9.1.1922,Asia,India,9.11.2011
1968,Chemistry,"for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes",Lars Onsager,male,27.11.1903,Europe,Norway,5.10.1976
1968,Physics,"for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis",Luis Alvarez,male,13.6.1911,North America,USA,1.9.1988
1968,Physiology or Medicine,for their interpretation of the genetic code and its function in protein synthesis,Marshall W. Nirenberg,male,10.4.1927,North America,USA,15.1.2010
1968,Peace,for his struggle to ensure the rights of man as stipulated in the UN Declaration,René Cassin,male,5.10.1887,Europe,France,20.2.1976
1968,Physiology or Medicine,for their interpretation of the genetic code and its function in protein synthesis,Robert W. Holley,male,28.1.1922,North America,USA,11.2.1993
1968,Literature,"for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind",Yasunari Kawabata,male,11.6.1899,Asia,Japan,16.4.1972
1969,Physiology or Medicine,for their discoveries concerning the replication mechanism and the genetic structure of viruses,Alfred D. Hershey,male,4.12.1908,North America,USA,22.5.1997
1969,Chemistry,for their contributions to the development of the concept of conformation and its application in chemistry,Derek Barton,male,8.9.1918,Europe,United Kingdom,16.3.1998
1969,Peace,for creating international legislation insuring certain norms for working conditions in every country,International Labour Organization,,,,,
1969,Economic Sciences,for having developed and applied dynamic models for the analysis of economic processes,Jan Tinbergen,male,12.4.1903,Europe,the Netherlands,9.6.1994
1969,Physiology or Medicine,for their discoveries concerning the replication mechanism and the genetic structure of viruses,Max Delbrück,male,4.9.1906,Europe,Germany,9.3.1981
1969,Physics,for his contributions and discoveries concerning the classification of elementary particles and their interactions,Murray Gell-Mann,male,15.9.1929,North America,USA,24.5.2019
1969,Chemistry,for their contributions to the development of the concept of conformation and its application in chemistry,Odd Hassel,male,17.5.1897,Europe,Norway,11.5.1981
1969,Economic Sciences,for having developed and applied dynamic models for the analysis of economic processes,Ragnar Frisch,male,3.3.1895,Europe,Norway,31.1.1973
1969,Physiology or Medicine,for their discoveries concerning the replication mechanism and the genetic structure of viruses,Salvador E. Luria,male,13.8.1912,Europe,Italy,6.2.1991
1969,Literature,"for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation",Samuel Beckett,male,13.4.1906,Europe,Ireland,22.12.1989
1970,Literature,for the ethical force with which he has pursued the indispensable traditions of Russian literature,Alexandr Solzhenitsyn,male,11.12.1918,Europe,Russia,3.8.2008
1970,Physics,for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics,Hannes Alfvén,male,30.5.1908,Europe,Sweden,2.4.1995
1970,Physiology or Medicine,"for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation",Julius Axelrod,male,30.5.1912,North America,USA,29.12.2004
1970,Physics,for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics,Louis Néel,male,22.11.1904,Europe,France,17.11.2000
1970,Chemistry,for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates,Luis Leloir,male,6.9.1906,Europe,France,2.12.1987
1970,Peace,for having given a well-founded hope - the green revolution,Norman Borlaug,male,25.3.1914,North America,USA,12.9.2009
1970,Economic Sciences,for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science,Paul A. Samuelson,male,15.5.1915,North America,USA,13.12.2009
1970,Physiology or Medicine,"for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation",Sir Bernard Katz,male,26.3.1911,Europe,Germany,20.4.2003
1970,Physiology or Medicine,"for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation",Ulf von Euler,male,7.2.1905,Europe,Sweden,9.3.1983
1971,Physics,for his invention and development of the holographic method,Dennis Gabor,male,5.6.1900,Europe,Hungary,8.2.1979
1971,Physiology or Medicine,for his discoveries concerning the mechanisms of the action of hormones,"Earl W. Sutherland, Jr.",male,19.11.1915,North America,USA,9.3.1974
1971,Chemistry,"for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals",Gerhard Herzberg,male,25.12.1904,Europe,Germany,3.3.1999
1971,Literature,for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams,Pablo Neruda,male,12.7.1904,South America,Chile,23.9.1973
1971,Economic Sciences,for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development,Simon Kuznets,male,30.4.1901,Europe,Belarus,8.7.1985
1971,Peace,for paving the way for a meaningful dialogue between East and West,Willy Brandt,male,18.12.1913,Europe,Germany,8.10.1992
1972,Chemistry,"for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation",Christian Anfinsen,male,26.3.1916,North America,USA,14.5.1995
1972,Physiology or Medicine,for their discoveries concerning the chemical structure of antibodies,Gerald M. Edelman,male,1.7.1929,North America,USA,17.5.2014
1972,Literature,for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature,Heinrich Böll,male,21.12.1917,Europe,Germany,16.7.1985
1972,Economic Sciences,for their pioneering contributions to general economic equilibrium theory and welfare theory,John R. Hicks,male,8.4.1904,Europe,United Kingdom,20.5.1989
1972,Economic Sciences,for their pioneering contributions to general economic equilibrium theory and welfare theory,Kenneth J. Arrow,male,23.8.1921,North America,USA,21.2.2017
1972,Physics,"for their jointly developed theory of superconductivity, usually called the BCS-theory",Leon N. Cooper,male,28.2.1930,North America,USA,
1972,Physics,"for their jointly developed theory of superconductivity, usually called the BCS-theory",Robert Schrieffer,male,31.5.1931,North America,USA,27.7.2019
1972,Physiology or Medicine,for their discoveries concerning the chemical structure of antibodies,Rodney R. Porter,male,8.10.1917,Europe,United Kingdom,6.9.1985
1972,Chemistry,for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule,Stanford Moore,male,4.9.1913,North America,USA,23.8.1982
1972,Chemistry,for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule,William H. Stein,male,25.6.1911,North America,USA,2.2.1980
1972,Physics,"for their jointly developed theory of superconductivity, usually called the BCS-theory",John Bardeen,male,23.5.1908,North America,USA,30.1.1991
1973,Physics,"for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects",Brian D. Josephson,male,4.1.1940,Europe,United Kingdom,
1973,Chemistry,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds",Ernst Otto Fischer,male,10.11.1918,Europe,Germany,23.7.2007
1973,Chemistry,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds",Geoffrey Wilkinson,male,14.7.1921,Europe,United Kingdom,26.9.1996
1973,Peace,for jointly having negotiated a cease fire in Vietnam in 1973,Henry Kissinger,male,27.5.1923,Europe,Germany,
1973,Physics,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively",Ivar Giaever,male,5.4.1929,Europe,Norway,
1973,Physiology or Medicine,for their discoveries concerning organization and elicitation of individual and social behaviour patterns,Karl von Frisch,male,20.11.1886,Europe,Austria,12.6.1982
1973,Physiology or Medicine,for their discoveries concerning organization and elicitation of individual and social behaviour patterns,Konrad Lorenz,male,7.11.1903,Europe,Austria,27.2.1989
1973,Peace,for jointly having negotiated a cease fire in Vietnam in 1973,Le Duc Tho,male,14.10.1911,Asia,Vietnam,13.10.1990
1973,Physics,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively",Leo Esaki,male,12.3.1925,Asia,Japan,
1973,Physiology or Medicine,for their discoveries concerning organization and elicitation of individual and social behaviour patterns,Nikolaas Tinbergen,male,15.4.1907,Europe,the Netherlands,21.12.1988
1973,Literature,for an epic and psychological narrative art which has introduced a new continent into literature,Patrick White,male,28.5.1912,Europe,United Kingdom,30.9.1990
1973,Economic Sciences,for the development of the input-output method and for its application to important economic problems,Wassily Leontief,male,5.8.1906,Europe,Russia,5.2.1999
1974,Physiology or Medicine,for their discoveries concerning the structural and functional organization of the cell,Albert Claude,male,24.8.1898,Europe,Belgium,22.5.1983
1974,Physics,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",Antony Hewish,male,11.5.1924,Europe,United Kingdom,
1974,Physiology or Medicine,for their discoveries concerning the structural and functional organization of the cell,Christian de Duve,male,2.10.1917,Europe,United Kingdom,4.5.2013
1974,Peace,for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty,Eisaku Sato,male,27.3.1901,Asia,Japan,3.6.1975
1974,Literature,"for a narrative art, far-seeing in lands and ages, in the service of freedom",Eyvind Johnson,male,29.7.1900,Europe,Sweden,25.8.1976
1974,Economic Sciences,"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena",Friedrich von Hayek,male,8.5.1899,Europe,Austria,23.3.1992
1974,Physiology or Medicine,for their discoveries concerning the structural and functional organization of the cell,George E. Palade,male,19.11.1912,Europe,Romania,7.10.2008
1974,Economic Sciences,"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena",Gunnar Myrdal,male,6.12.1898,Europe,Sweden,17.5.1987
1974,Literature,for writings that catch the dewdrop and reflect the cosmos,Harry Martinson,male,6.5.1904,Europe,Sweden,11.2.1978
1974,Physics,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",Martin Ryle,male,27.9.1918,Europe,United Kingdom,14.10.1984
1974,Chemistry,"for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules",Paul J. Flory,male,19.6.1910,North America,USA,8.9.1985
1974,Peace,for his efforts to secure and develop human rights throughout the world,Seán MacBride,male,26.1.1904,Europe,France,15.1.1988
1975,Physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Aage N. Bohr,male,19.6.1922,Europe,Denmark,8.9.2009
1975,Peace,"for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations",Andrei Sakharov,male,21.5.1921,Europe,Russia,14.12.1989
1975,Physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Ben R. Mottelson,male,9.7.1926,North America,USA,
1975,Physiology or Medicine,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,David Baltimore,male,7.3.1938,North America,USA,
1975,Literature,"for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions",Eugenio Montale,male,12.10.1896,Europe,Italy,12.9.1981
1975,Physiology or Medicine,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,Howard M. Temin,male,10.12.1934,North America,USA,9.2.1994
1975,Physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,James Rainwater,male,9.12.1917,North America,USA,31.3.1986
1975,Chemistry,for his work on the stereochemistry of enzyme-catalyzed reactions,John Cornforth,male,7.9.1917,Oceania,Australia,8.12.2013
1975,Economic Sciences,for their contributions to the theory of optimum allocation of resources,Leonid Vitaliyevich Kantorovich,male,19.1.1912,Europe,Russia,7.4.1986
1975,Physiology or Medicine,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,Renato Dulbecco,male,22.2.1914,Europe,Italy,19.2.2012
1975,Economic Sciences,for their contributions to the theory of optimum allocation of resources,Tjalling C. Koopmans,male,28.8.1910,Europe,the Netherlands,26.2.1985
1975,Chemistry,for his research into the stereochemistry of organic molecules and reactions,Vladimir Prelog,male,23.7.1906,Europe,Bosnia and Herzegovina,7.1.1998
1976,Physiology or Medicine,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,Baruch S. Blumberg,male,28.7.1925,North America,USA,5.4.2011
1976,Peace,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,Betty Williams,female,22.5.1943,Europe,Northern Ireland,17.3.2020
1976,Physics,for their pioneering work in the discovery of a heavy elementary particle of a new kind,Burton Richter,male,22.3.1931,North America,USA,18.7.2018
1976,Physiology or Medicine,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,D. Carleton Gajdusek,male,9.9.1923,North America,USA,12.12.2008
1976,Peace,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,Mairead Corrigan,female,27.1.1944,Europe,Northern Ireland,
1976,Economic Sciences,"for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy",Milton Friedman,male,31.7.1912,North America,USA,16.11.2006
1976,Physics,for their pioneering work in the discovery of a heavy elementary particle of a new kind,Samuel C.C. Ting,male,27.1.1936,North America,USA,
1976,Literature,for the human understanding and subtle analysis of contemporary culture that are combined in his work,Saul Bellow,male,10.6.1915,North America,Canada,5.4.2005
1976,Chemistry,for his studies on the structure of boranes illuminating problems of chemical bonding,William Lipscomb,male,9.12.1919,North America,USA,14.4.2011
1977,Peace,for worldwide respect for human rights,Amnesty International,,,,,
1977,Physiology or Medicine,for their discoveries concerning the peptide hormone production of the brain,Andrew V. Schally,male,30.11.1926,Europe,Lithuania,
1977,Economic Sciences,for their pathbreaking contribution to the theory of international trade and international capital movements,Bertil Ohlin,male,23.4.1899,Europe,Sweden,3.8.1979
1977,Chemistry,"for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures",Ilya Prigogine,male,25.1.1917,Europe,Russia,28.5.2003
1977,Economic Sciences,for their pathbreaking contribution to the theory of international trade and international capital movements,James E. Meade,male,23.6.1907,Europe,United Kingdom,22.12.1995
1977,Physics,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,John H. van Vleck,male,13.3.1899,North America,USA,27.10.1980
1977,Physics,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,Philip W. Anderson,male,13.12.1923,North America,USA,29.3.2020
1977,Physiology or Medicine,for their discoveries concerning the peptide hormone production of the brain,Roger Guillemin,male,11.1.1924,Europe,France,
1977,Physiology or Medicine,for the development of radioimmunoassays of peptide hormones,Rosalyn Yalow,female,19.7.1921,North America,USA,30.5.2011
1977,Physics,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,Sir Nevill F. Mott,male,30.9.1905,Europe,United Kingdom,8.8.1996
1977,Literature,"for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars",Vicente Aleixandre,male,26.4.1898,Europe,Spain,14.12.1984
1978,Peace,for jointly having negotiated peace between Egypt and Israel in 1978,Anwar al-Sadat,male,25.12.1918,Africa,Egypt,6.10.1981
1978,Physics,for their discovery of cosmic microwave background radiation,Arno Penzias,male,26.4.1933,Europe,Germany,
1978,Physiology or Medicine,for the discovery of restriction enzymes and their application to problems of molecular genetics,Daniel Nathans,male,30.10.1928,North America,USA,16.11.1999
1978,Physiology or Medicine,for the discovery of restriction enzymes and their application to problems of molecular genetics,Hamilton O. Smith,male,23.8.1931,North America,USA,
1978,Economic Sciences,for his pioneering research into the decision-making process within economic organizations,Herbert Simon,male,15.6.1916,North America,USA,9.2.2001
1978,Literature,"for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life",Isaac Bashevis Singer,male,14.7.1904,Europe,Poland,24.7.1991
1978,Peace,for jointly having negotiated peace between Egypt and Israel in 1978,Menachem Begin,male,16.8.1913,Europe,Belarus,9.3.1992
1978,Chemistry,for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory,Peter Mitchell,male,29.9.1920,Europe,United Kingdom,10.4.1992
1978,Physics,for his basic inventions and discoveries in the area of low-temperature physics,Pyotr Kapitsa,male,9.7.1894,Europe,Russia,8.4.1984
1978,Physics,for their discovery of cosmic microwave background radiation,Robert Woodrow Wilson,male,10.1.1936,North America,USA,
1978,Physiology or Medicine,for the discovery of restriction enzymes and their application to problems of molecular genetics,Werner Arber,male,3.6.1929,Europe,Switzerland,
1979,Physics,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",Abdus Salam,male,29.1.1926,Asia,Pakistan,21.11.1996
1979,Physiology or Medicine,for the development of computer assisted tomography,Allan M. Cormack,male,23.2.1924,Africa,South Africa,7.5.1998
1979,Chemistry,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis",Georg Wittig,male,16.6.1897,Europe,Germany,26.8.1987
1979,Physiology or Medicine,for the development of computer assisted tomography,Godfrey N. Hounsfield,male,28.8.1919,Europe,United Kingdom,12.8.2004
1979,Chemistry,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis",Herbert C. Brown,male,22.5.1912,Europe,United Kingdom,19.12.2004
1979,Peace,for her work for bringing help to suffering humanity,Mother Teresa,female,26.8.1910,Europe,North Macedonia,5.9.1997
1979,Literature,"for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness",Odysseus Elytis,male,2.11.1911,Europe,Greece,18.3.1996
1979,Physics,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",Sheldon Glashow,male,5.12.1932,North America,USA,
1979,Economic Sciences,for their pioneering research into economic development research with particular consideration of the problems of developing countries,Sir Arthur Lewis,male,23.1.1915,North America,Saint Lucia,15.6.1991
1979,Physics,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",Steven Weinberg,male,3.5.1933,North America,USA,
1979,Economic Sciences,for their pioneering research into economic development research with particular consideration of the problems of developing countries,Theodore W. Schultz,male,30.4.1902,North America,USA,26.2.1998
1980,Peace,"for being a source of inspiration to repressed people, especially in Latin America",Adolfo Pérez Esquivel,male,26.11.1931,South America,Argentina,
1980,Physiology or Medicine,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,Baruj Benacerraf,male,29.10.1920,South America,Venezuela,2.8.2011
1980,Literature,who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts,Czeslaw Milosz,male,30.6.1911,Europe,Lithuania,14.8.2004
1980,Physiology or Medicine,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,George D. Snell,male,19.12.1903,North America,USA,6.6.1996
1980,Physics,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,James Cronin,male,29.9.1931,North America,USA,25.8.2016
1980,Physiology or Medicine,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,Jean Dausset,male,19.10.1916,Europe,France,6.6.2009
1980,Economic Sciences,for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies,Lawrence R. Klein,male,14.9.1920,North America,USA,20.10.2013
1980,Chemistry,"for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA",Paul Berg,male,30.6.1926,North America,USA,
1980,Physics,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,Val Fitch,male,10.3.1923,North America,USA,5.2.2015
1980,Chemistry,for their contributions concerning the determination of base sequences in nucleic acids,Walter Gilbert,male,21.3.1932,North America,USA,
1980,Chemistry,for their contributions concerning the determination of base sequences in nucleic acids,Frederick Sanger,male,13.8.1918,Europe,United Kingdom,19.11.2013
1981,Physics,for their contribution to the development of laser spectroscopy,Arthur L. Schawlow,male,5.5.1921,North America,USA,28.4.1999
1981,Physiology or Medicine,for their discoveries concerning information processing in the visual system,David H. Hubel,male,27.2.1926,North America,Canada,22.9.2013
1981,Literature,"for writings marked by a broad outlook, a wealth of ideas and artistic power",Elias Canetti,male,25.7.1905,Europe,Bulgaria,14.8.1994
1981,Economic Sciences,"for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices",James Tobin,male,5.3.1918,North America,USA,11.3.2002
1981,Physics,for his contribution to the development of high-resolution electron spectroscopy,Kai M. Siegbahn,male,20.4.1918,Europe,Sweden,20.7.2007
1981,Chemistry,"for their theories, developed independently, concerning the course of chemical reactions",Kenichi Fukui,male,4.10.1918,Asia,Japan,9.1.1998
1981,Physics,for their contribution to the development of laser spectroscopy,Nicolaas Bloembergen,male,11.3.1920,Europe,the Netherlands,5.9.2017
1981,Chemistry,"for their theories, developed independently, concerning the course of chemical reactions",Roald Hoffmann,male,18.7.1937,Europe,Ukraine,
1981,Physiology or Medicine,for his discoveries concerning the functional specialization of the cerebral hemispheres,Roger W. Sperry,male,20.8.1913,North America,USA,17.4.1994
1981,Physiology or Medicine,for their discoveries concerning information processing in the visual system,Torsten N. Wiesel,male,3.6.1924,Europe,Sweden,
1981,Peace,for promoting the fundamental rights of refugees,Office of the United Nations High Commissioner for Refugees,,,,,
1982,Chemistry,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,Aaron Klug,male,11.8.1926,Europe,Lithuania,20.11.2018
1982,Peace,for their work for disarmament and nuclear and weapon-free zones,Alfonso García Robles,male,20.3.1911,North America,Mexico,2.9.1991
1982,Peace,for their work for disarmament and nuclear and weapon-free zones,Alva Myrdal,female,31.1.1902,Europe,Sweden,1.2.1986
1982,Physiology or Medicine,for their discoveries concerning prostaglandins and related biologically active substances,Bengt I. Samuelsson,male,21.5.1934,Europe,Sweden,
1982,Literature,"for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts",Gabriel García Márquez,male,6.3.1927,South America,Colombia,17.4.2014
1982,Economic Sciences,"for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation",George J. Stigler,male,17.1.1911,North America,USA,1.12.1991
1982,Physiology or Medicine,for their discoveries concerning prostaglandins and related biologically active substances,John R. Vane,male,29.3.1927,Europe,United Kingdom,19.11.2004
1982,Physics,for his theory for critical phenomena in connection with phase transitions,Kenneth G. Wilson,male,8.6.1936,North America,USA,15.6.2013
1982,Physiology or Medicine,for their discoveries concerning prostaglandins and related biologically active substances,Sune K. Bergström,male,10.1.1916,Europe,Sweden,15.8.2004
1983,Physiology or Medicine,for her discovery of mobile genetic elements,Barbara McClintock,female,16.6.1902,North America,USA,2.9.1992
1983,Economic Sciences,for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium,Gerard Debreu,male,4.7.1921,Europe,France,31.12.2004
1983,Chemistry,"for his work on the mechanisms of electron transfer reactions, especially in metal complexes",Henry Taube,male,30.11.1915,North America,Canada,16.11.2005
1983,Peace,for non-violent struggle for free trade unions and human rights in Poland,Lech Walesa,male,29.9.1943,Europe,Poland,
1983,Physics,for his theoretical studies of the physical processes of importance to the structure and evolution of the stars,Subramanyan Chandrasekhar,male,19.10.1910,Asia,Pakistan,21.8.1995
1983,Physics,for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe,William A. Fowler,male,9.8.1911,North America,USA,14.3.1995
1983,Literature,"for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today",William Golding,male,19.9.1911,Europe,United Kingdom,19.6.1993
1984,Chemistry,for his development of methodology for chemical synthesis on a solid matrix,Bruce Merrifield,male,15.7.1921,North America,USA,14.5.2006
1984,Physics,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",Carlo Rubbia,male,31.3.1934,Europe,Italy,
1984,Physiology or Medicine,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,César Milstein,male,8.10.1927,South America,Argentina,24.3.2002
1984,Peace,for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa,Desmond Tutu,male,7.10.1931,Africa,South Africa,
1984,Physiology or Medicine,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,Georges J.F. Köhler,male,17.4.1946,Europe,Germany,1.3.1995
1984,Literature,"for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man",Jaroslav Seifert,male,23.9.1901,Europe,Czech Republic,10.1.1986
1984,Physiology or Medicine,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,Niels K. Jerne,male,23.12.1911,Europe,United Kingdom,7.10.1994
1984,Economic Sciences,for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis,Richard Stone,male,30.8.1913,Europe,United Kingdom,6.12.1991
1984,Physics,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",Simon van der Meer,male,24.11.1925,Europe,the Netherlands,4.3.2011
1985,Literature,who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition,Claude Simon,male,10.10.1913,Africa,Madagascar,6.7.2005
1985,Economic Sciences,for his pioneering analyses of saving and of financial markets,Franco Modigliani,male,18.6.1918,Europe,Italy,25.9.2003
1985,Chemistry,for their outstanding achievements in the development of direct methods for the determination of crystal structures,Herbert A. Hauptman,male,14.2.1917,North America,USA,23.10.2011
1985,Peace,for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war,International Physicians for the Prevention of Nuclear War,,,,,
1985,Chemistry,for their outstanding achievements in the development of direct methods for the determination of crystal structures,Jerome Karle,male,18.6.1918,North America,USA,6.6.2013
1985,Physiology or Medicine,for their discoveries concerning the regulation of cholesterol metabolism,Joseph L. Goldstein,male,18.4.1940,North America,USA,
1985,Physics,for the discovery of the quantized Hall effect,Klaus von Klitzing,male,28.6.1943,Europe,Poland,
1985,Physiology or Medicine,for their discoveries concerning the regulation of cholesterol metabolism,Michael S. Brown,male,13.4.1941,North America,USA,
1986,Chemistry,for their contributions concerning the dynamics of chemical elementary processes,Dudley R. Herschbach,male,18.6.1932,North America,USA,
1986,Peace,"for being a messenger to mankind: his message is one of peace, atonement and dignity",Elie Wiesel,male,30.9.1928,Europe,Romania,2.7.2016
1986,Physics,"for his fundamental work in electron optics, and for the design of the first electron microscope",Ernst Ruska,male,25.12.1906,Europe,Germany,27.5.1988
1986,Physics,for their design of the scanning tunneling microscope,Gerd Binnig,male,20.7.1947,Europe,Germany,
1986,Physics,for their design of the scanning tunneling microscope,Heinrich Rohrer,male,6.6.1933,Europe,Switzerland,16.5.2013
1986,Economic Sciences,for his development of the contractual and constitutional bases for the theory of economic and political decision-making,James M. Buchanan Jr.,male,3.10.1919,North America,USA,9.1.2013
1986,Chemistry,for their contributions concerning the dynamics of chemical elementary processes,John C. Polanyi,male,23.1.1929,Europe,Germany,
1986,Physiology or Medicine,for their discoveries of growth factors,Rita Levi-Montalcini,female,22.4.1909,Europe,Italy,30.12.2012
1986,Physiology or Medicine,for their discoveries of growth factors,Stanley Cohen,male,17.11.1922,North America,USA,5.2.2020
1986,Literature,who in a wide cultural perspective and with poetic overtones fashions the drama of existence,Wole Soyinka,male,13.7.1934,Africa,Nigeria,
1986,Chemistry,for their contributions concerning the dynamics of chemical elementary processes,Yuan T. Lee,male,19.11.1936,Asia,Taiwan,
1987,Chemistry,for their development and use of molecules with structure-specific interactions of high selectivity,Charles J. Pedersen,male,3.10.1904,Asia,South Korea,26.10.1989
